"来源","年份","证据等级","直接支持","不能直接支持","在本方案中的角色","链接"
"DINOv2: Learning Robust Visual Features without Supervision","2023","核心原始论文/预训练模型","冻结ViT可提供通用patch级稠密视觉特征","DINOv2本身不会决定关键点定义与数量","主编码器证据","https://arxiv.org/abs/2304.07193"
"Vision Transformers Need Registers","2023/2024","原始论文","register tokens可减少背景高范数伪影并改善稠密特征图","不能保证秧苗关键点发现成功","选择DINOv2-Reg的依据","https://arxiv.org/abs/2309.16588"
"PDiscoFormer","2024","预印本/无监督部件发现","DINOv2有利于真实图像部件发现并可放宽几何先验","部件区域不等于紧凑关键点，也不解决动态数量","部件发现基线与损失参考","https://arxiv.org/abs/2407.04538"
"Unsupervised Keypoints from Pretrained Diffusion Models","2024","CVPR同行评议","局部性和等变性可约束无监督关键点","使用扩散模型且输出容量仍需配置，不能直接迁移结论","外部强基线与损失参考","https://openaccess.thecvf.com/content/CVPR2024/html/Hedlin_Unsupervised_Keypoints_from_Pretrained_Diffusion_Models_CVPR_2024_paper.html"
"Pose-Guided Self-Training with Two-Stage Clustering for ULD","2024","CVPR同行评议","自训练对应和聚类可提高无监督地标稳定性","未直接解决每实例动态输出数量","对应稳定性与自训练参考","https://openaccess.thecvf.com/content/CVPR2024/html/Tourani_Pose-Guided_Self-Training_with_Two-Stage_Clustering_for_Unsupervised_Landmark_Discovery_CVPR_2024_paper.html"
"DINOSAUR","2023","ICLR同行评议","冻结自监督ViT特征重建可以训练真实图像object-centric slots","slot通常表示对象/区域，不天然是点","DINO特征重建损失依据","https://openreview.net/forum?id=b9tUk-f_aG"
"Adaptive Slot Attention","2024","CVPR同行评议","可根据实例复杂度动态采样slot数量","在对象分割任务验证，未在植物地标验证","动态数量机制主要依据","https://openaccess.thecvf.com/content/CVPR2024/html/Fan_Adaptive_Slot_Attention_Object_Discovery_with_Dynamic_Slot_Number_CVPR_2024_paper.html"
"PlantTrack","2024","预印本/植物机器人应用","DINOv2特征可支持植物关键点预测和跨域应用","仍训练专门热图预测器，不是无监督动态发现","植物场景可行性旁证","https://arxiv.org/abs/2407.16829"
"Telling Left from Right","2024","CVPR同行评议","基础模型语义对应可能缺少方向与几何意识","不能直接否定DINOv2在本数据上的价值","反例与风险依据","https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_Telling_Left_from_Right_Identifying_Geometry-Aware_Semantic_Correspondence_CVPR_2024_paper.pdf"
"TokenCut: Self-Supervised Transformers for Unsupervised Object Discovery using Normalized Cut","2022","CVPR同行评议/原始论文","可把自监督ViT patch token构图并通过归一化割发现前景区域","前景区域发现不等于动态关键点；未保证细长植株和复杂背景有效","G1′谱支撑候选及失败反例依据","https://arxiv.org/abs/2202.11539"
"Deep Spectral Methods: A Surprisingly Strong Baseline for Unsupervised Semantic Segmentation and Localization","2022","CVPR同行评议/原始论文","自监督特征亲和图的拉普拉斯特征向量可分解出有意义区域","语义区域分解不能直接证明关键点位置、数量或稳定性","G1′谱支撑候选及证据边界","https://arxiv.org/abs/2205.07839"
