dataset_id,manual_path_semantics,manual_missing_organ,manual_wrong_connection,manual_base_selection,manual_note
"v4_val_0012","fail","yes","yes","wrong","没有识别出来任何的特征，叶子和基部，也没有器官路径"
"v4_val_0023","fail","yes","yes","wrong","没有识别出来任何的特征，叶子和基部，也没有器官路径"
"v4_val_0040","fail","yes","yes","correct","1点左侧并没有识别出完整的叶片"
"v4_val_0019","pass","yes","no","correct","左下方小叶片未识别到"
"v4_val_0031","pass","no","no","wrong","基部未识别到（在1右侧）"
"v4_val_0016","pass","no","no","correct",""
"v4_val_0013","pass","no","no","correct",""
"v4_val_0017","pass","no","no","correct",""
"v4_val_0030","pass","yes","no","correct","右上方小叶子未识别到"
"v4_val_0014","pass","yes","no","correct","上方小叶片未识别到"
"v4_val_0018","pass","no","no","correct",""
"v4_val_0011","pass","no","no","correct",""
"v4_val_0035","pass","no","no","wrong","基部有点偏下了"
"v4_val_0022","pass","no","no","correct",""
"v4_val_0033","pass","no","yes","correct","红色方框分界点有点偏上了"
"v4_val_0036","pass","no","no","correct",""
"v4_val_0034","pass","no","no","wrong","基部点2以及点4仍然识别到了根须部位"
"v4_val_0038","pass","uncertain","yes","correct","下方小叶子是另一片单独的分叶，貌似适合主叶重合识别为同一片了"
"v4_val_0009","pass","no","no","correct",""
"v4_val_0025","pass","no","no","correct",""
"v4_val_0020","pass","no","no","correct",""
"v4_val_0027","pass","no","no","correct",""
"v4_val_0028","pass","no","no","correct",""
"v4_val_0029","pass","no","no","correct",""
"v4_val_0010","pass","no","no","correct",""
"v4_val_0039","pass","no","no","correct",""
"v4_val_0003","pass","no","no","wrong","基部再偏上一点会更好"
"v4_val_0004","pass","no","no","correct",""
"v4_val_0006","pass","no","no","correct",""
"v4_val_0015","pass","no","yes","correct","上方小叶片连线的时候没有分叉成新叶，而是只让主叶线路过了一下"
"v4_val_0005","fail","yes","yes","correct","下方小叶子有漏叶没识别到，连线也略过了"
"v4_val_0021","pass","no","no","correct",""
"v4_val_0026","pass","no","no","correct",""
"v4_val_0001","pass","no","no","correct",""
"v4_val_0007","pass","no","no","correct",""
"v4_val_0032","pass","no","no","correct",""
"v4_val_0008","pass","no","no","correct",""
"v4_val_0037","pass","no","no","correct",""
"v4_val_0002","pass","no","no","correct",""
"v4_val_0024","pass","no","no","correct",""
