dataset_id,visible_leaf_count,a_true_path_count,a_missing_leaf_count,a_false_branch_count,a_wrong_connection,a_base_selection,b_true_path_count,b_missing_leaf_count,b_false_branch_count,b_wrong_connection,b_base_selection,c_true_path_count,c_missing_leaf_count,c_false_branch_count,c_wrong_connection,c_base_selection,d_true_path_count,d_missing_leaf_count,d_false_branch_count,d_wrong_connection,d_base_selection,preferred_variant,a_vs_b_decoder,a_vs_c_teacher,c_vs_d_decoder,b_vs_d_teacher,d_vs_a,comparison_note
"v4_val_0001","2","3","0","0","no","correct","3","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0002","2","0","2","0","yes","wrong","0","2","0","yes","wrong","2","0","0","no","correct","2","0","0","no","correct","D","same","C_better","same","D_better","improved",""
"v4_val_0003","2","2","0","0","no","wrong","2","0","0","no","wrong","2","0","0","no","wrong","2","0","0","no","wrong","tie","same","C_better","same","D_better","improved",""
"v4_val_0004","2","1","1","0","no","correct","2","0","0","no","correct","1","1","0","no","correct","2","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0005","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same",""
"v4_val_0006","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same",""
"v4_val_0007","2","1","1","0","no","correct","2","0","0","no","correct","1","1","0","no","correct","2","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0008","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0009","1","1","0","0","no","correct","1","0","0","no","correct","1","0","0","no","correct","1","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0010","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0011","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0012","1","0","1","0","yes","correct","0","1","0","yes","correct","0","1","0","yes","wrong","0","1","0","yes","wrong","none","same","A_better","same","B_better","worse",""
